PNA;NAZWA PLACÓWKI;MIEJSCOWOŒÆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
43-318;FUP Bielsko-Bia³a 1;skrytki/przegródki;;;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-300;FUP Bielsko-Bia³a 1;Bielsko-Bia³a;Lipnicka;133;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-305;FUP Bielsko-Bia³a 1;skrytki/przegródki;;;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-300;FUP Bielsko-Bia³a 1;Bielsko-Bia³a;Mostowa;5;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-300;FUP Bielsko-Bia³a 1;Bielsko-Bia³a;pl. Ratuszowy;6;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-315;FUP Bielsko-Bia³a 1;skrytki/przegródki;;;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-302;UP Bielsko-Bia³a 2;Bielsko-Bia³a;Legionów;47;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-311;FUP Bielsko-Bia³a 2;Bielsko-Bia³a;Jutrzenki;22;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-310;FUP Bielsko-Bia³a 2;Bielsko-Bia³a;¯ywiecka;302;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-303;UP Bielsko-Bia³a 3;Bielsko-Bia³a;Cieszyñska;140;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-317;FUP Bielsko-Bia³a 3;Bielsko-Bia³a;Miko³aja Reja;16;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-304;UP Bielsko-Bia³a 4;Bielsko-Bia³a;pl. Wolnoœci;6;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-309;UP Bielsko-Bia³a 9;Bielsko-Bia³a;Pocztowa;8;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-345;UP Bielsko-Bia³a 12;Bielsko-Bia³a;Wyzwolenia;293;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-344;UP Bielsko-Bia³a 12;skrytki/przegródki;;;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-346;UP Bielsko-Bia³a 13;Bielsko-Bia³a;Komorowicka;235;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-382;UP Bielsko-Bia³a 14;Bielsko-Bia³a;Dworcowa;29;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-316;UP Bielsko-Bia³a 16;Bielsko-Bia³a;Doliny Miêtusiej;3;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-308;FUP Bielsko-Bia³a 16;Bielsko-Bia³a;Andrychowska;2A;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-319;UP Bielsko-Bia³a 19;Bielsko-Bia³a;Warszawska;2;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-319;FUP Bielsko-Bia³a 19;Bielsko-Bia³a;Piastowska;40;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-319;FUP Bielsko-Bia³a 19;Bielsko-Bia³a;Warszawska;180;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-302;PP Bielsko-Bia³a S201;Bielsko-Bia³a;Legionów;47;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
46-046;AP Bierdzany;Bierdzany;Szkolna;16a;Turawa;opolski;opolskie
43-151;AP Bieruñ;Bieruñ;Wêglowa;47;Bieruñ;bieruñsko-lêdziñski;œl¹skie
43-155;UP Bieruñ Nowy;Bieruñ;Wawelska;33;Bieruñ;bieruñsko-lêdziñski;œl¹skie
43-150;FUP Bieruñ Nowy;Bieruñ;ks. Jana Trochy;19;Bieruñ;bieruñsko-lêdziñski;œl¹skie
43-156;FUP Bieruñ Nowy;Bieruñ;Turystyczna;1;Bieruñ;bieruñsko-lêdziñski;œl¹skie
56-420;AP Bierutów;Bierutów;Wroc³awska;21;Bierutów;oleœnicki;dolnoœl¹skie
62-651;AP Bierzwienna D³uga;Bierzwienna D³uga;;28;K³odawa;kolski;wielkopolskie
78-324;AP Bierzwnica;Bierzwnica;;49;Œwidwin;œwidwiñski;zachodniopomorskie
11-036;AP Biesal;Biesal;;14;Gietrzwa³d;olsztyñski;warmiñsko-mazurskie
77-230;AP Biesowice;Biesowice;;36/2;Kêpice;s³upski;pomorskie
38-213;AP BieŸdziedza;BieŸdziedza;;97;Ko³aczyce;jasielski;podkarpackie
09-320;UP Bie¿uñ;Bie¿uñ;Zacisze;1;Bie¿uñ;¿uromiñski;mazowieckie
